year,age,sex,af_incd_clbr_fctr,af_ftlt_clbr_fctr,nonmodelled_ftlt_clbr_fctr
2013,50,men,0.551151070070572,1,1.05174470831955
2013,50,women,1.00963489720519,1,1.29235596171035
2013,51,men,1.83230260248618,1,1.0771743979526
2013,51,women,1.05326308206538,1,1.1464387107839
2013,52,men,1.35406743575361,1,1.05420692316223
2013,52,women,1.00564733090871,1,0.977474329773564
2013,53,men,1.59184355667974,1,1.04570186058454
2013,53,women,1.01779687308287,1,1.02006282903313
2013,54,men,1.10181617624757,1,1.12450733364536
2013,54,women,1.05413795833755,1,1.05697119212078
2013,55,men,1.42530816720145,1,1.05844910151935
2013,55,women,1.67154287425963,1,1.06343695713369
2013,56,men,1.3529953866846,1,0.949669011325357
2013,56,women,1.88089873662598,1,1.06046512840833
2013,57,men,1.36345808896341,1,0.951786458108477
2013,57,women,1.60666056616563,1,1.04143101380363
2013,58,men,1.34928406137891,1,0.960415384826591
2013,58,women,1.79132253767799,1,1.10205074205744
2013,59,men,1.44085291384298,1,1.0284888394803
2013,59,women,1.96966548468625,1,1.10743111754708
2013,60,men,1.05529950869522,1,1.03408058962414
2013,60,women,1.10298838014343,1,1.1845450256191
2013,61,men,1.04557087737824,1,0.974923908790165
2013,61,women,1.23115522724943,1,1.2804078116764
2013,62,men,1.07671843949258,1,1.01837197231996
2013,62,women,1.12908058753943,1,1.14762265293442
2013,63,men,1.18872012423362,1,1.00900426965454
2013,63,women,1.14952660601678,1,0.968693337991928
2013,64,men,1.15740458146675,1,0.947062939723762
2013,64,women,1.11015698338007,1,1.06327767028124
2013,65,men,1.10876654275032,1,0.983567748920894
2013,65,women,1.1561904699843,1,1.07202811581783
2013,66,men,1.0679930430452,1,0.910114478118325
2013,66,women,1.18865202659536,1,0.98333836275483
2013,67,men,1.13123342260828,1,0.942039057217177
2013,67,women,1.29918648518647,1,1.01134594702876
2013,68,men,1.10510065391354,1,0.918536757529054
2013,68,women,1.26371175739855,1,0.953651820530384
2013,69,men,1.0895791652155,1,0.90973200893895
2013,69,women,1.22600456781232,1,1.06260343431231
2013,70,men,1.19747968670096,1,0.952742048742864
2013,70,women,1.10745767414931,1,1.03446036430341
2013,71,men,1.18524445957171,1,0.957017284831911
2013,71,women,1.1115342623954,1,1.03447034935553
2013,72,men,1.13806891731327,1,0.889884661221153
2013,72,women,1.12968402573021,1,0.986046557200911
2013,73,men,1.12741896032662,1,0.917287134723502
2013,73,women,1.16269688143178,1,0.942829242119322
2013,74,men,1.14834920532927,1,0.930689705596518
2013,74,women,1.12430519607466,1,1.00764153690168
2013,75,men,1.19751590618233,1,0.882336512280891
2013,75,women,1.06740688258132,1,0.967205593429693
2013,76,men,1.14490925301531,1,0.962298927186685
2013,76,women,1.11725368823938,1,0.973156624689916
2013,77,men,1.17528605869859,1,0.92547721989641
2013,77,women,1.1049975417823,1,0.998488443044611
2013,78,men,1.12601381581626,1,0.940287657225437
2013,78,women,1.16832883326712,1,0.945796093777448
2013,79,men,1.11177949653761,1,0.946741036110078
2013,79,women,1.16051131486669,1,0.96362532207599
2013,80,men,1.08888952973345,1,0.910119436515327
2013,80,women,1.15712497480131,1,0.927669016151677
2013,81,men,1.16553208006401,1,0.910541995789759
2013,81,women,1.20171648496647,1,0.937644482247631
2013,82,men,1.16497074062217,1,0.914291597189038
2013,82,women,1.1426557145723,1,0.938288618494271
2013,83,men,1.18362935582513,1,0.93014513537705
2013,83,women,1.09382916502312,1,0.943165283285618
2013,84,men,1.43533247175449,1,0.941164809867502
2013,84,women,1.20668527358063,1,0.921470484458953
2013,85,men,1.4306773361556,1,0.924846433745087
2013,85,women,1.27583061021753,1,0.912608966668055
2013,86,men,1.47392223613554,1,0.909503144520861
2013,86,women,1.3482815995077,1,0.898693302849533
2013,87,men,1.04580887628105,1,0.937695643417973
2013,87,women,1.31370530800578,1,0.91203181498027
2013,88,men,0.91214010130308,1,0.925279479107037
2013,88,women,1.28488913330357,1,0.904628365222399
2013,89,men,0.815400720817595,1,0.887942042955924
2013,89,women,1.30874328731798,1,0.90172216797181
2013,90,men,0.939198488147662,1,0.934885535433837
2013,90,women,1.53188838725887,1,0.927156043876068
2013,91,men,1.00944973242962,1,0.94391431680506
2013,91,women,1.55004488225397,1,0.905288199779737
2013,92,men,0.942663099866433,1,0.900436835693625
2013,92,women,1.84310109715922,1,0.930842924319954
2013,93,men,1.04347604863388,1,0.937568032874769
2013,93,women,1.38613914255756,1,0.92279168046014
2013,94,men,1.0415767938388,1,0.956596618710129
2013,94,women,1.19442757788323,1,0.913039820735902
2013,95,men,1.11210543926769,1,0.984986166193192
2013,95,women,1.0833881059064,1,0.923063648659168
2013,96,men,0.930187712507326,1,0.986495856503451
2013,96,women,1.1441568301501,1,0.888142853898935
2013,97,men,1.19083187355717,1,0.985714756555955
2013,97,women,1.00834164319133,1,0.940491746457262
2013,98,men,0.993870223524279,1,0.982433745831139
2013,98,women,1.16159343618274,1,0.935776322249925
2013,99,men,1.42710891874447,1,0.982433745831139
2013,99,women,1.05750366612687,1,0.935776322249925
2014,50,men,0.559357878487678,1,1.03078215818736
2014,50,women,1.00907193102936,1,1.23316629246518
2014,51,men,1.80593456189258,1,1.08569473924797
2014,51,women,1.03170234360805,1,1.25154685106386
2014,52,men,1.35224620197582,1,1.1693339432992
2014,52,women,0.984531029033985,1,1.14843207922934
2014,53,men,1.59855540750267,1,1.10040935876429
2014,53,women,0.995403552184766,1,1.0386837378066
2014,54,men,1.10709698023458,1,1.10141658278778
2014,54,women,1.03065666709759,1,1.05744072900773
2014,55,men,1.43987307095593,1,1.04197033328217
2014,55,women,1.63956068545125,1,1.06884280049815
2014,56,men,1.36804276302403,1,0.972998826185718
2014,56,women,1.84251240535234,1,1.06692556280194
2014,57,men,1.37066239253792,1,0.965826051945921
2014,57,women,1.57081872967976,1,1.08148009885348
2014,58,men,1.36030172282393,1,0.956229906872769
2014,58,women,1.74263543350837,1,1.10973122906803
2014,59,men,1.44845769890186,1,1.00387013358365
2014,59,women,1.9132957541572,1,1.16246562975387
2014,60,men,1.07238779275712,1,1.01259578662075
2014,60,women,1.10290836626422,1,1.18380629862764
2014,61,men,1.06113280043012,1,0.985966608513552
2014,61,women,1.22796371527101,1,1.2352859984522
2014,62,men,1.0932593903937,1,1.03193075647543
2014,62,women,1.12812890143016,1,1.13809120777496
2014,63,men,1.20404924522093,1,0.965657925909702
2014,63,women,1.14707574484319,1,1.10148962220902
2014,64,men,1.17314068324103,1,0.960688154828121
2014,64,women,1.10895444724881,1,0.99592178524974
2014,65,men,1.13295347091326,1,1.0013044169372
2014,65,women,1.16044338583264,1,1.02883593796667
2014,66,men,1.08924344567567,1,0.913391855243629
2014,66,women,1.19230429602284,1,0.961411586186633
2014,67,men,1.15606811594847,1,0.946592106926112
2014,67,women,1.30260300695358,1,1.01317557601744
2014,68,men,1.12977070841913,1,0.945839649118599
2014,68,women,1.26627280298854,1,1.02382920386935
2014,69,men,1.11488777085277,1,0.885069907566597
2014,69,women,1.22896773025275,1,1.08653892698058
2014,70,men,1.22283309230489,1,0.951960338154218
2014,70,women,1.11759449626576,1,1.03943375081874
2014,71,men,1.21063228237855,1,0.965992496448275
2014,71,women,1.12157050681596,1,1.00098464098146
2014,72,men,1.16269046667609,1,0.931677774408552
2014,72,women,1.13904064870353,1,0.980381599577474
2014,73,men,1.15052672491913,1,0.910139203162174
2014,73,women,1.17251072391495,1,0.927973300219149
2014,74,men,1.17310332550665,1,0.954271920939637
2014,74,women,1.13345437231494,1,0.993327993010456
2014,75,men,1.21862659846963,1,0.89937553495584
2014,75,women,1.07864553457099,1,0.987903258044696
2014,76,men,1.16655655940489,1,0.960269568859155
2014,76,women,1.1291395997832,1,0.930977579088761
2014,77,men,1.20114859367656,1,0.893721394115268
2014,77,women,1.11699153735172,1,0.990306314201097
2014,78,men,1.14917174755321,1,0.933536272257474
2014,78,women,1.18292030130767,1,0.949021615446814
2014,79,men,1.13731779624617,1,0.941199635376547
2014,79,women,1.17370877591194,1,0.922541391729635
2014,80,men,1.11191165304849,1,0.929762627682196
2014,80,women,1.16594484045527,1,0.943277467935935
2014,81,men,1.18691727662639,1,0.915894604416946
2014,81,women,1.208528295459,1,0.92659321500338
2014,82,men,1.18678902085987,1,0.915556323808967
2014,82,women,1.14908849851849,1,0.932639776770814
2014,83,men,1.20426881127078,1,0.926441049931558
2014,83,women,1.10047302191175,1,0.924240993984819
2014,84,men,1.45248955868755,1,0.945487239939212
2014,84,women,1.21202479836033,1,0.925402554413402
2014,85,men,1.4450150176184,1,0.95522881652923
2014,85,women,1.26928393808994,1,0.923730872130472
2014,86,men,1.49180734631855,1,0.925659415674282
2014,86,women,1.34051260935962,1,0.909003687732839
2014,87,men,1.0719073447509,1,0.935095601567365
2014,87,women,1.30924065329879,1,0.939307535006661
2014,88,men,0.94059398427041,1,0.921625735738968
2014,88,women,1.28121921295566,1,0.916154391752919
2014,89,men,0.838767250237085,1,0.92882747636301
2014,89,women,1.30557036970452,1,0.905683500424719
2014,90,men,0.945190461933456,1,0.939814734576932
2014,90,women,1.50269032888439,1,0.935532737998824
2014,91,men,1.01259304139907,1,0.930492606404654
2014,91,women,1.52180755946696,1,0.894953248124044
2014,92,men,0.946204781507732,1,0.943449905331398
2014,92,women,1.79850507070095,1,0.904485987006278
2014,93,men,1.04491259723171,1,0.929382858026134
2014,93,women,1.36968016074999,1,0.928675478208886
2014,94,men,1.04368603141053,1,0.98200063287896
2014,94,women,1.19418082449765,1,0.925763872848172
2014,95,men,1.10915962329,1,0.96407027825829
2014,95,women,1.08086464840564,1,0.926408314432346
2014,96,men,0.931562713528507,1,0.963842598643058
2014,96,women,1.12853030969709,1,0.925138972447337
2014,97,men,1.18413127900233,1,1.04313531406293
2014,97,women,0.996293517735183,1,0.902252922673772
2014,98,men,0.994501577586282,1,1.00586713757545
2014,98,women,1.14346734529138,1,0.935031689611916
2014,99,men,1.40993537895151,1,1.00586713757545
2014,99,women,1.0422967614244,1,0.935031689611916
2015,50,men,0.567682723653078,1,1.08024985509022
2015,50,women,1.00850955798337,1,1.2395133419541
2015,51,men,1.77995878229616,1,1.08795735177054
2015,51,women,1.01059333823386,1,1.24714625674899
2015,52,men,1.35042832001438,1,1.12563479729713
2015,52,women,0.963868274976188,1,1.26256010899877
2015,53,men,1.60529220532182,1,1.15485879468592
2015,53,women,0.973513674795586,1,1.24003874798706
2015,54,men,1.11240045389229,1,1.19334883092123
2015,54,women,1.0077096984962,1,1.03968269110996
2015,55,men,1.45457946909768,1,1.07961754748557
2015,55,women,1.60820584493041,1,1.11372598294133
2015,56,men,1.38324989475411,1,1.03261756934523
2015,56,women,1.80492795615701,1,1.00580789265911
2015,57,men,1.37790115795122,1,0.969942167691834
2015,57,women,1.53579366260926,1,1.06577099748023
2015,58,men,1.37140381337876,1,0.904744720703187
2015,58,women,1.69529480565962,1,1.09645414879653
2015,59,men,1.45609881688249,1,1.0344949951616
2015,59,women,1.85856605400313,1,1.09239458889209
2015,60,men,1.08974409508984,1,0.973007108988103
2015,60,women,1.10282839790409,1,1.15836105862832
2015,61,men,1.07691844391884,1,0.996673198320499
2015,61,women,1.22478205473306,1,1.22961153450153
2015,62,men,1.11004604879426,1,1.04407328151442
2015,62,women,1.12717848930467,1,1.09076938378136
2015,63,men,1.21956828565938,1,0.991015971091068
2015,63,women,1.1446313217777,1,1.03560251624043
2015,64,men,1.18908276227269,1,0.979902427089139
2015,64,women,1.10775380969068,1,1.12918774402486
2015,65,men,1.15765561804536,1,1.01347421545071
2015,65,women,1.16470982274262,1,0.981244743761749
2015,66,men,1.11090581351682,1,0.920718961002353
2015,66,women,1.19596596611541,1,0.989682195889625
2015,67,men,1.18143528541391,1,0.956602791754534
2015,67,women,1.30602681062433,1,1.03418875608051
2015,68,men,1.15497883420749,1,0.938089024845356
2015,68,women,1.26883776363674,1,0.968479341735984
2015,69,men,1.14077123843054,1,0.890173262004871
2015,69,women,1.23193657818609,1,1.0346002860613
2015,70,men,1.24871030099778,1,0.959494790185479
2015,70,women,1.12781900196731,1,1.01749328992463
2015,71,men,1.23655090060821,1,0.999040704122592
2015,71,women,1.13169232070555,1,0.995317165740879
2015,72,men,1.18783207026702,1,0.909982305302059
2015,72,women,1.14847006559281,1,0.988624646179784
2015,73,men,1.17409628514115,1,0.910652551870915
2015,73,women,1.18240246758884,1,0.965061559990805
2015,74,men,1.19837836494392,1,0.94126363020406
2015,74,women,1.14267340394861,1,0.996655958682449
2015,75,men,1.2400986880748,1,0.881952985744901
2015,75,women,1.08999685035731,1,0.991462873466731
2015,76,men,1.18860210927315,1,0.986787881893856
2015,76,women,1.14114596514439,1,0.972590846025193
2015,77,men,1.22756697783128,1,0.923755993014144
2015,77,women,1.12910966858559,1,0.961717102734342
2015,78,men,1.17279410032478,1,0.915349737588167
2015,78,women,1.19768662553934,1,0.927943196598302
2015,79,men,1.16342961115501,1,0.936209408986925
2015,79,women,1.18704965667205,1,0.946723136280856
2015,80,men,1.13540873517429,1,0.925292664527478
2015,80,women,1.17482750477539,1,0.93585419414405
2015,81,men,1.20868394009574,1,0.917386175638839
2015,81,women,1.21537530785017,1,0.934491672291765
2015,82,men,1.20900479102226,1,0.923884739695369
2015,82,women,1.15555427673241,1,0.922628774460689
2015,83,men,1.22525765138163,1,0.9238209023106
2015,83,women,1.1071539051124,1,0.936416265933113
2015,84,men,1.46984306106672,1,0.935130950812323
2015,84,women,1.21738528212929,1,0.914736578421709
2015,85,men,1.45948916119446,1,0.952415911435202
2015,85,women,1.26277408370858,1,0.926720755965071
2015,86,men,1.50990044076125,1,0.930547179388354
2015,86,women,1.33279220848736,1,0.924678214169128
2015,87,men,1.09864366533203,1,0.946459091195394
2015,87,women,1.30479337678527,1,0.922563524714147
2015,88,men,0.969920686013322,1,0.93020064799018
2015,88,women,1.27756158864522,1,0.913304701555804
2015,89,men,0.862791281742264,1,0.923423043061017
2015,89,women,1.30240671382955,1,0.898190129488671
2015,90,men,0.951217660871154,1,0.942020074565919
2015,90,women,1.47406287196077,1,0.925487141925276
2015,91,men,1.01574457063279,1,0.942665226438239
2015,91,women,1.49409827444956,1,0.90933669316444
2015,92,men,0.949758001599708,1,0.935636166928428
2015,92,women,1.75500943675147,1,0.922311237203534
2015,93,men,1.04635040894215,1,0.923360056034091
2015,93,women,1.35342463762993,1,0.911899264985572
2015,94,men,1.04579849006939,1,0.98101681316213
2015,94,women,1.19393424453884,1,0.949343302224036
2015,95,men,1.10622306687851,1,0.941728900704496
2015,95,women,1.07834831688531,1,0.903435306614331
2015,96,men,0.932939063006864,1,0.990426086264013
2015,96,women,1.11312480977655,1,0.939110978510442
2015,97,men,1.17747168562403,1,1.04568691388121
2015,97,women,0.984395222587972,1,0.940756173781449
2015,98,men,0.995133019011199,1,1.12410887891375
2015,98,women,1.12563289105037,1,0.9267072330487
2015,99,men,1.39297687358006,1,1.12410887891375
2015,99,women,1.02731591848724,1,0.9267072330487
2016,50,men,0.576127243417182,1,0.984537329166643
2016,50,women,1.00794777714839,1,1.22418901486249
2016,51,men,1.7543692379314,1,1.01837454163292
2016,51,women,0.98992638421439,1,1.20346333252715
2016,52,men,1.34861378204178,1,1.1526295463159
2016,52,women,0.943649109309573,1,1.08951993209845
2016,53,men,1.61205403041191,1,1.05486224560185
2016,53,women,0.952115681102183,1,1.06246865665544
2016,54,men,1.11772668321514,1,1.16123419222846
2016,54,women,0.985284637718962,1,1.08639020256693
2016,55,men,1.46942866496338,1,0.916473673266029
2016,55,women,1.57746574469356,1,1.12780962525428
2016,56,men,1.39861839742179,1,0.963941680513146
2016,56,women,1.76812825235106,1,1.08584076895619
2016,57,men,1.38517453282629,1,0.937008353610178
2016,57,women,1.50156636072139,1,1.17678408060523
2016,58,men,1.38259093764695,1,0.97880575628114
2016,58,women,1.64926277569262,1,1.04619970590517
2016,59,men,1.46377642320994,1,1.01363228532338
2016,59,women,1.80542789027603,1,1.10680573033603
2016,60,men,1.10737248322919,1,1.02531181227079
2016,60,women,1.10274847501458,1,1.17530903151887
2016,61,men,1.09293091065271,1,0.990090074385469
2016,61,women,1.22161021036006,1,1.22691646540508
2016,62,men,1.12708193989098,1,1.03147149917318
2016,62,women,1.12622934882652,1,1.19013428011467
2016,63,men,1.23527950253862,1,0.986743728866161
2016,63,women,1.14219331672566,1,1.11823493889147
2016,64,men,1.20523341046086,1,0.97170615113488
2016,64,women,1.10655506676822,1,1.15306638496334
2016,65,men,1.18288369520908,1,0.995042855290345
2016,65,women,1.1689898169588,1,0.960749818375102
