sex,no_morbidity,unspecific,neuropsychiatric,complex,eye,musculoskeletal,metabolic,cardiovascluar
women,0.01923,0.34178000000000003,0.41137,0.5325,0.7343,0.81453,0.9305399999999999,1.0000099999999998
men,0.02725,0.37037,0.43145999999999995,0.5336599999999999,0.6779299999999999,0.73969,0.9251799999999999,0.9999999999999999
